Text
Xherdan Shaqiri (Liverpool) takes the free kick and immediately restarts play with a short pass.
"Xherdan Shaqiri (Liverpool) misses a good chance to score. A perfect cross into the box finds Xherdan Shaqiri (Liverpool) who rises for a header, but he sends the ball well over the bar."
"Trent Alexander-Arnold produces a cross from the resulting corner and finds Divock Origi (Liverpool) inside the box. He pulls the trigger and scores, sending the ball into the top left corner. What a brilliant finish. 4:0."
"James Milner (Liverpool) sends a teasing cross into the area, but Marc-Andre ter Stegen intercepts the ball."
It's a goal! Georginio Wijnaldum (Liverpool) makes it 3:0. He jumped highest to connect with a perfect cross from Xherdan Shaqiri and planted his close-range header into the left side of the goal. Marc-Andre ter Stegen was helpless.
"Goal! Trent Alexander-Arnold plays a pass to the feet of Georginio Wijnaldum (Liverpool), and he shoots into the back of the net from inside the box. It's 2:0."
"A cross following the corner kick finds its way to Virgil Van Dijk (Liverpool) inside the box and he manages to steer it to the middle of the target. He is about to start celebrating a goal, but Marc-Andre ter Stegen makes a save in the nick of time and maintains the current score."
Trent Alexander-Arnold (Liverpool) goes over to take a corner kick after one of the defenders makes a good clearance.
"Good clearance! Sadio Mane (Liverpool) received a low pass, but he didn't have time to do anything as one of the defenders quickly stole the ball off him. The referee signals a corner kick to Liverpool."
"Virgil Van Dijk (Liverpool) gets to the ball from the resulting corner and tries his luck with a shot, but one of the defenders steps in to block the effort."
Divock Origi (Liverpool) tries to send a pass but it's blocked. Liverpool have been awarded a corner kick.
"Andrew Robertson (Liverpool) brings down the pass, looks up and shoots from distance, but it's straight at a defender who unwittingly blocks it. The referee and his assistant both point at the corner flag. Liverpool will have an opportunity to threaten the opposition's goal."
"A big opportunity is wasted by Andrew Robertson (Liverpool), who makes a yard for himself and produces a mid-range rocket of a shot towards the right side of the goal. Unfortunately for him, Marc-Andre ter Stegen pulls off a fantastic save to stop the effort."
"What a great touch by Jordan Henderson (Liverpool) as he controls a fine pass into the box and takes a shot towards the roof of the net, but an opposing player makes a clearance. Great defending."
"Sadio Mane (Liverpool) goes down under a challenge in the box, but the ref immediately waves away the appeals from all players."
Jordan Henderson fires in a promising shot which ricochets off the goalkeeper back to Divock Origi (Liverpool) inside the box and he sends the ball into the back of the net. The score is 1:0.
"Xherdan Shaqiri (Liverpool) produces an inaccurate low pass into the box that is blocked by the one of the defenders. If this pass had slipped through, the ball would have probably ended up in the back of the net. The ball goes out for a corner. Liverpool can continue in their attacking effort."
